Algorithm,SK 100 Final,SK 100 Best,SK 200 Final,SK 200 Best
cRBM_SR,0.06463403244675879,0.06253291935973727,0.13604998010290123,0.1353242163294164
cRBM_NQA,3.5142333897290255e-10,1.0000007616468826e-10,0.16866526201951065,0.16527166187401632
RBQS_SR,7.023008744628844e-07,6.957314439569879e-07,0.013474203157442705,0.013107422344847129
RBQS_NQA,4.0774931740237084e-10,1.0000013353932497e-10,2.274497895096368e-06,6.106725246599334e-07
cRBM_SR_cata,,,0.09684877159017412,0.09660742354755332
cRBM_NQA_cata,,,0.3280481713745104,0.32071741888647765
RBQS_SR_cata,,,0.00850951729099698,0.00850951729099698
RBQS_NQA_cata,,,3.872297186114086e-06,7.61402447957912e-08
cRBM_auto,,,0.029914493110387772,0.026664158786368186
DBQS_auto,,,7.882530640424397e-07,1.2558815350655721e-08
