Instance,Energy,Energy Variance
9.000000000000000000e+00,-7.318897019153584438e+01,4.715342325124056155e-01
9.000000000000000000e+00,-6.435132086315283573e+01,5.510565803065693435e-01
9.000000000000000000e+00,-7.374666853779505971e+01,1.218727068564985985e-02
9.000000000000000000e+00,-7.322296629221631292e+01,4.054302188600094059e-01
9.000000000000000000e+00,-7.302419475660157389e+01,8.871224002991282553e-01
9.000000000000000000e+00,-7.328357033361780282e+01,2.675225493225654727e-01
9.000000000000000000e+00,-7.315133271697325767e+01,8.501591835757476012e-01
9.000000000000000000e+00,-7.303688827097174396e+01,8.468442506422243499e-01
9.000000000000000000e+00,-7.340187637701765766e+01,2.642118649253857171e-02
9.000000000000000000e+00,-7.323139610770266472e+01,3.913201705381153528e-01
9.000000000000000000e+00,-7.339858832410965306e+01,3.115254618921112217e-02
9.000000000000000000e+00,-7.332439466384292359e+01,2.376394018276621611e-01
9.000000000000000000e+00,-7.321854559684157948e+01,3.473820350829830983e-01
9.000000000000000000e+00,-7.323062374281450104e+01,4.615149513358053346e-01
9.000000000000000000e+00,-6.513303796035665982e+01,1.033201230781856106e-01
9.000000000000000000e+00,-7.334235871142962537e+01,2.497630428074379683e-01
9.000000000000000000e+00,-7.318189083023327157e+01,2.317566642878125110e-02
9.000000000000000000e+00,-7.316576778082099963e+01,5.693859331665708234e-01
9.000000000000000000e+00,-7.018186762277221646e+01,2.522682206110804515e-01
9.000000000000000000e+00,-7.284861194777680282e+01,4.394772318617940488e-01
9.000000000000000000e+00,-7.307393899507914625e+01,8.292480743266225085e-01
9.000000000000000000e+00,-7.327191577259942790e+01,2.896855301510149472e-01
9.000000000000000000e+00,-7.271718499142551195e+01,7.892974291052758939e-01
9.000000000000000000e+00,-7.326010417335048430e+01,3.395332763978305968e-01
9.000000000000000000e+00,-7.270238874668717699e+01,8.100156027124657543e-01
9.000000000000000000e+00,-7.317528643876320871e+01,5.357934665002495045e-01
9.000000000000000000e+00,-7.069192126634968076e+01,4.032808377366177699e-01
9.000000000000000000e+00,-7.311511297485520799e+01,6.771134988530222998e-01
9.000000000000000000e+00,-7.325603370314000529e+01,4.941325950591482496e-01
9.000000000000000000e+00,-7.326851648878194112e+01,3.043472859067657410e-01
9.000000000000000000e+00,-6.910390377436638687e+01,3.023868939165773317e-02
9.000000000000000000e+00,-7.284382577248939583e+01,4.271610498109433274e-01
9.000000000000000000e+00,-6.813349264382777903e+01,2.210115250817320520e-01
9.000000000000000000e+00,-7.280464486460633111e+01,5.631885255873699814e-01
9.000000000000000000e+00,-7.340255775269227456e+01,2.607539576645266644e-02
9.000000000000000000e+00,-7.340333470255089310e+01,2.567076909902647752e-02
9.000000000000000000e+00,-7.339502047579773603e+01,9.094553154531240247e-02
9.000000000000000000e+00,-7.339804268691540301e+01,2.825781390480296834e-02
9.000000000000000000e+00,-7.334922186322319249e+01,3.363607438960372620e-01
9.000000000000000000e+00,-7.022893168683046383e+01,3.641971445540004293e-02
9.000000000000000000e+00,-7.268386830163110801e+01,9.572542482745416415e-01
9.000000000000000000e+00,-6.989749128221542662e+01,8.575248426058879048e-01
9.000000000000000000e+00,-7.335142452644228683e+01,2.852396247221678643e-02
9.000000000000000000e+00,-6.621181022594764443e+01,2.396866952654487792e-01
9.000000000000000000e+00,-7.321175540346101229e+01,4.352385732357075820e-01
9.000000000000000000e+00,-7.288379238878827948e+01,5.488872462685817633e-01
9.000000000000000000e+00,-7.305084578772681425e+01,9.394742392645938356e-01
9.000000000000000000e+00,-7.326697831794589888e+01,4.062525077423729813e-01
9.000000000000000000e+00,-7.104526147296327565e+01,1.635576156543218362e-02
9.000000000000000000e+00,-7.331539229839631844e+01,4.626665821486617425e-01
9.000000000000000000e+00,-7.339950612143181274e+01,3.274052018985917911e-02
9.000000000000000000e+00,-7.340091060858819105e+01,2.915748624117193294e-02
9.000000000000000000e+00,-7.333558931867058561e+01,4.123868688771870072e-01
9.000000000000000000e+00,-7.306071654621237599e+01,8.490951332405283214e-01
9.000000000000000000e+00,-7.311156693474447366e+01,7.097761063364476097e-01
9.000000000000000000e+00,-7.276563945185971249e+01,6.525872993314063564e-01
9.000000000000000000e+00,-7.330533213336056519e+01,2.297562961545409621e-01
9.000000000000000000e+00,-7.340239901093613639e+01,2.812702621181656371e-02
9.000000000000000000e+00,-7.302434822899326150e+01,9.842413461181579448e-01
9.000000000000000000e+00,-7.309276145778042633e+01,9.459492888839196034e-01
9.000000000000000000e+00,-7.318503584667169548e+01,5.180284737253569860e-01
9.000000000000000000e+00,-7.329273031557148954e+01,6.801349649522205887e-01
9.000000000000000000e+00,-7.350113141262599470e+01,8.005950619200081775e-01
9.000000000000000000e+00,-7.377759309707462876e+01,7.653562053425644329e-02
9.000000000000000000e+00,-7.310922810881382361e+01,7.467111041987085640e-01
9.000000000000000000e+00,-6.496681605084235400e+01,2.159305424517761474e-02
9.000000000000000000e+00,-7.119208325391582548e+01,4.632622612820026520e-01
9.000000000000000000e+00,-7.305641528922710393e+01,8.846204534535412334e-01
9.000000000000000000e+00,-7.351925931298995920e+01,7.469201525704294298e-01
9.000000000000000000e+00,-7.296235337842483659e+01,3.366642843436892241e-01
9.000000000000000000e+00,-7.363494930245592229e+01,4.157714909221751354e-01
